Name of Utility,Year,Month,# Residential Customers,# Past Due Residential Customers
Dakota Electric Association,2020,Jan,101134,13209
Dakota Electric Association,2020,Feb,101186,18980
Dakota Electric Association,2020,Mar,101240,13004
Dakota Electric Association,2020,Apr,101295,12320
Dakota Electric Association,2020,May,101701,14374
Dakota Electric Association,2020,Jun,101661,12400
Dakota Electric Association,2020,Jul,101792,12076
Dakota Electric Association,2020,Aug,101887,12736
Dakota Electric Association,2020,Sep,102052,13354
Dakota Electric Association,2020,Oct,,
Dakota Electric Association,2020,Nov,,
Dakota Electric Association,2020,Dec,,
Dakota Electric Association,2020,Jan,101134,13209
Dakota Electric Association,2020,Feb,101186,18980
Dakota Electric Association,2020,Mar,101240,13004
Dakota Electric Association,2020,Apr,101295,12320
Dakota Electric Association,2020,May,101701,14374
Dakota Electric Association,2020,Jun,101661,12400
Dakota Electric Association,2020,Jul,101792,12076
Dakota Electric Association,2020,Aug,101887,12736
Dakota Electric Association,2020,Sep,102052,13354
Dakota Electric Association,2020,Oct,,
Dakota Electric Association,2020,Nov,,
Dakota Electric Association,2020,Dec,,
Minnesota Energy Resources,2020,Jan,212379,23976
Minnesota Energy Resources,2020,Feb,212418,28663
Minnesota Energy Resources,2020,Mar,212372,28123
Minnesota Energy Resources,2020,Apr,212449,26978
Minnesota Energy Resources,2020,May,212416,28184
Minnesota Energy Resources,2020,Jun,212347,25257
Minnesota Energy Resources,2020,Jul,212453,27820
Minnesota Energy Resources,2020,Aug,212531,31579
Minnesota Energy Resources,2020,Sep,212758,30615
Minnesota Energy Resources,2020,Oct,,
Minnesota Energy Resources,2020,Nov,,
Minnesota Energy Resources,2020,Dec,,
CenterPoint Energy,2020,Jan,808660,64985
CenterPoint Energy,2020,Feb,809106,78616
CenterPoint Energy,2020,Mar,809958,80789
CenterPoint Energy,2020,Apr,810683,84260
CenterPoint Energy,2020,May,811142,88443
CenterPoint Energy,2020,Jun,812585,87921
CenterPoint Energy,2020,Jul,813520,87867
CenterPoint Energy,2020,Aug,813561,89745
CenterPoint Energy,2020,Sep,815347,91199
CenterPoint Energy,2020,Oct,,
CenterPoint Energy,2020,Nov,,
CenterPoint Energy,2020,Dec,,
Xcel Energy,2020,Jan,1254847,168109
Xcel Energy,2020,Feb,1257181,168868
Xcel Energy,2020,Mar,1258716,168682
Xcel Energy,2020,Apr,1258445,151074
Xcel Energy,2020,May,1259297,154241
Xcel Energy,2020,Jun,1260650,146864
Xcel Energy,2020,Jul,1261067,149286
Xcel Energy,2020,Aug,1261146,163581
Xcel Energy,2020,Sep,1265082,167986
Xcel Energy,2020,Oct,,
Xcel Energy,2020,Nov,,
Xcel Energy,2020,Dec,,
Minnesota Power,2020,Jan,106035,14095
Minnesota Power,2020,Feb,106051,14437
Minnesota Power,2020,Mar,106162,14546
Minnesota Power,2020,Apr,106194,12611
Minnesota Power,2020,May,106556,12379
Minnesota Power,2020,Jun,106792,12320
Minnesota Power,2020,Jul,106612,12431
Minnesota Power,2020,Aug,106894,12986
Minnesota Power,2020,Sep,106884,13775
Minnesota Power,2020,Oct,,
Minnesota Power,2020,Nov,,
Minnesota Power,2020,Dec,,
Otter Tail Power Company,2020,Jan,51392,12207
Otter Tail Power Company,2020,Feb,51368,13115
Otter Tail Power Company,2020,Mar,51393,12884
Otter Tail Power Company,2020,Apr,51503,12195
Otter Tail Power Company,2020,May,51605,7372
Otter Tail Power Company,2020,Jun,51646,7000
Otter Tail Power Company,2020,Jul,51660,7292
Otter Tail Power Company,2020,Aug,51698,7695
Otter Tail Power Company,2020,Sep,51751,8099
Otter Tail Power Company,2020,Oct,,
Otter Tail Power Company,2020,Nov,,
Otter Tail Power Company,2020,Dec,,
Dakota Electric Association,2020,Jan,101134,13209
Dakota Electric Association,2020,Feb,101186,18980
Dakota Electric Association,2020,Mar,101240,13004
Dakota Electric Association,2020,Apr,101295,12320
Dakota Electric Association,2020,May,101701,14374
Dakota Electric Association,2020,Jun,101661,12400
Dakota Electric Association,2020,Jul,101792,12076
Dakota Electric Association,2020,Aug,101887,12736
Dakota Electric Association,2020,Sep,102052,13354
Dakota Electric Association,2020,Oct,102308,20521
Dakota Electric Association,2020,Nov,,
Dakota Electric Association,2020,Dec,,
Dakota Electric Association,2020,Jan,101134,13209
Dakota Electric Association,2020,Feb,101186,18980
Dakota Electric Association,2020,Mar,101240,13004
Dakota Electric Association,2020,Apr,101295,12320
Dakota Electric Association,2020,May,101701,14374
Dakota Electric Association,2020,Jun,101661,12400
Dakota Electric Association,2020,Jul,101792,12076
Dakota Electric Association,2020,Aug,101887,12736
Dakota Electric Association,2020,Sep,102052,13354
Dakota Electric Association,2020,Oct,102308,20521
Dakota Electric Association,2020,Nov,,
Dakota Electric Association,2020,Dec,,
Xcel Energy,2020,Jan,1254847,168109
Xcel Energy,2020,Feb,1257181,168868
Xcel Energy,2020,Mar,1258716,168682
Xcel Energy,2020,Apr,1258445,151074
Xcel Energy,2020,May,1259297,154241
Xcel Energy,2020,Jun,1260650,146864
Xcel Energy,2020,Jul,1261067,149286
Xcel Energy,2020,Aug,1261146,163581
Xcel Energy,2020,Sep,1265082,167986
Xcel Energy,2020,Oct,1265807,182408
Xcel Energy,2020,Nov,,
Xcel Energy,2020,Dec,,
Otter Tail Power Company,2020,Jan,51392,12207
Otter Tail Power Company,2020,Feb,51368,13115
Otter Tail Power Company,2020,Mar,51393,12884
Otter Tail Power Company,2020,Apr,51503,12195
Otter Tail Power Company,2020,May,51605,7372
Otter Tail Power Company,2020,Jun,51646,7000
Otter Tail Power Company,2020,Jul,51660,7292
Otter Tail Power Company,2020,Aug,51698,7695
Otter Tail Power Company,2020,Sep,51751,8099
Otter Tail Power Company,2020,Oct,51792,8424
Otter Tail Power Company,2020,Nov,,
Otter Tail Power Company,2020,Dec,,
Minnesota Energy Resources,2020,Jan,212379,23976
Minnesota Energy Resources,2020,Feb,212418,28663
Minnesota Energy Resources,2020,Mar,212372,28123
Minnesota Energy Resources,2020,Apr,212449,26978
Minnesota Energy Resources,2020,May,212416,28184
Minnesota Energy Resources,2020,Jun,212347,25257
Minnesota Energy Resources,2020,Jul,212453,27820
Minnesota Energy Resources,2020,Aug,212531,31579
Minnesota Energy Resources,2020,Sep,212758,30615
Minnesota Energy Resources,2020,Oct,213086,33387
Minnesota Energy Resources,2020,Nov,,
Minnesota Energy Resources,2020,Dec,,
Minnesota Power,2020,Jan,106035,14095
Minnesota Power,2020,Feb,106051,14437
Minnesota Power,2020,Mar,106162,14546
Minnesota Power,2020,Apr,106194,12611
Minnesota Power,2020,May,106556,12379
Minnesota Power,2020,Jun,106792,12320
Minnesota Power,2020,Jul,106612,12431
Minnesota Power,2020,Aug,106894,12986
Minnesota Power,2020,Sep,106884,13775
Minnesota Power,2020,Oct,107044,13604
Minnesota Power,2020,Nov,,
Minnesota Power,2020,Dec,,
Dakota Electric Association,2020,Jan,101134,13209
Dakota Electric Association,2020,Feb,101186,18980
Dakota Electric Association,2020,Mar,101240,13004
Dakota Electric Association,2020,Apr,101295,12320
Dakota Electric Association,2020,May,101701,14374
Dakota Electric Association,2020,Jun,101661,12400
Dakota Electric Association,2020,Jul,101792,12076
Dakota Electric Association,2020,Aug,101887,12736
Dakota Electric Association,2020,Sep,102052,13354
Dakota Electric Association,2020,Oct,102308,20521
Dakota Electric Association,2020,Nov,102305,14845
Dakota Electric Association,2020,Dec,,
Dakota Electric Association,2020,Jan,101134,13209
Dakota Electric Association,2020,Feb,101186,18980
Dakota Electric Association,2020,Mar,101240,13004
Dakota Electric Association,2020,Apr,101295,12320
Dakota Electric Association,2020,May,101701,14374
Dakota Electric Association,2020,Jun,101661,12400
Dakota Electric Association,2020,Jul,101792,12076
Dakota Electric Association,2020,Aug,101887,12736
Dakota Electric Association,2020,Sep,102052,13354
Dakota Electric Association,2020,Oct,102308,20521
Dakota Electric Association,2020,Nov,102305,14845
Dakota Electric Association,2020,Dec,,
Otter Tail Power Company,2020,Jan,51392,12207
Otter Tail Power Company,2020,Feb,51368,13115
Otter Tail Power Company,2020,Mar,51393,12884
Otter Tail Power Company,2020,Apr,51503,12195
Otter Tail Power Company,2020,May,51605,7372
Otter Tail Power Company,2020,Jun,51646,7000
Otter Tail Power Company,2020,Jul,51660,7292
Otter Tail Power Company,2020,Aug,51698,7695
Otter Tail Power Company,2020,Sep,51751,8099
Otter Tail Power Company,2020,Oct,51792,8424
Otter Tail Power Company,2020,Nov,51733,8313
Otter Tail Power Company,2020,Dec,,
Xcel Energy,2020,Jan,1254847,168109
Xcel Energy,2020,Feb,1257181,168868
Xcel Energy,2020,Mar,1258716,168682
Xcel Energy,2020,Apr,1258445,151074
Xcel Energy,2020,May,1259297,154241
Xcel Energy,2020,Jun,1260650,146864
Xcel Energy,2020,Jul,1261067,149286
Xcel Energy,2020,Aug,1261146,163581
Xcel Energy,2020,Sep,1265082,167986
Xcel Energy,2020,Oct,1265807,182408
Xcel Energy,2020,Nov,1268935,168813
Xcel Energy,2020,Dec,,
Minnesota Energy Resources,2020,Jan,212379,23976
Minnesota Energy Resources,2020,Feb,212418,28663
Minnesota Energy Resources,2020,Mar,212372,28123
Minnesota Energy Resources,2020,Apr,212449,26978
Minnesota Energy Resources,2020,May,212416,28184
Minnesota Energy Resources,2020,Jun,212347,25257
Minnesota Energy Resources,2020,Jul,212453,27820
Minnesota Energy Resources,2020,Aug,212531,31579
Minnesota Energy Resources,2020,Sep,212758,30615
Minnesota Energy Resources,2020,Oct,213086,33387
Minnesota Energy Resources,2020,Nov,213585,28887
Minnesota Energy Resources,2020,Dec,,
Minnesota Power,2020,Jan,106035,14095
Minnesota Power,2020,Feb,106051,14437
Minnesota Power,2020,Mar,106162,14546
Minnesota Power,2020,Apr,106194,12611
Minnesota Power,2020,May,106556,12379
Minnesota Power,2020,Jun,106792,12320
Minnesota Power,2020,Jul,106612,12431
Minnesota Power,2020,Aug,106894,12986
Minnesota Power,2020,Sep,106884,13775
Minnesota Power,2020,Oct,107044,13604
Minnesota Power,2020,Nov,106952,14177
Minnesota Power,2020,Dec,,
CenterPoint Energy,2020,Jan,808660,64985
CenterPoint Energy,2020,Feb,809106,78616
CenterPoint Energy,2020,Mar,809958,80789
CenterPoint Energy,2020,Apr,810683,84260
CenterPoint Energy,2020,May,811142,88443
CenterPoint Energy,2020,Jun,812585,87921
CenterPoint Energy,2020,Jul,813520,87867
CenterPoint Energy,2020,Aug,813561,89745
CenterPoint Energy,2020,Sep,815347,91199
CenterPoint Energy,2020,Oct,816628,100442
CenterPoint Energy,2020,Nov,818207,110240
CenterPoint Energy,2020,Dec,,
Dakota Electrric Association,2020,Jan,101134,13209
Dakota Electrric Association,2020,Feb,101186,18980
Dakota Electrric Association,2020,Mar,101240,13004
Dakota Electrric Association,2020,Apr,101295,12320
Dakota Electrric Association,2020,May,101701,14374
Dakota Electrric Association,2020,Jun,101661,12400
Dakota Electrric Association,2020,Jul,,
Dakota Electrric Association,2020,Aug,,
Dakota Electrric Association,2020,Sep,,
Dakota Electrric Association,2020,Oct,,
Dakota Electrric Association,2020,Nov,,
Dakota Electrric Association,2020,Dec,,
Dakota Electrric Association,2020,Jan,101134,13209
Dakota Electrric Association,2020,Feb,101186,18980
Dakota Electrric Association,2020,Mar,101240,13004
Dakota Electrric Association,2020,Apr,101295,12320
Dakota Electrric Association,2020,May,101701,14374
Dakota Electrric Association,2020,Jun,101661,12400
Dakota Electrric Association,2020,Jul,,
Dakota Electrric Association,2020,Aug,,
Dakota Electrric Association,2020,Sep,,
Dakota Electrric Association,2020,Oct,,
Dakota Electrric Association,2020,Nov,,
Dakota Electrric Association,2020,Dec,,
Xcel Energy,2020,Jan,1254847,168109
Xcel Energy,2020,Feb,1257181,168868
Xcel Energy,2020,Mar,1258716,168682
Xcel Energy,2020,Apr,1258445,151074
Xcel Energy,2020,May,1259297,154241
Xcel Energy,2020,Jun,1448951,146864
Xcel Energy,2020,Jul,,
Xcel Energy,2020,Aug,,
Xcel Energy,2020,Sep,,
Xcel Energy,2020,Oct,,
Xcel Energy,2020,Nov,,
Xcel Energy,2020,Dec,,
Otter Tail Power Company,2020,Jan,51392,12207
Otter Tail Power Company,2020,Feb,51368,13115
Otter Tail Power Company,2020,Mar,51393,12884
Otter Tail Power Company,2020,Apr,51503,12195
Otter Tail Power Company,2020,May,51605,12153
Otter Tail Power Company,2020,Jun,51646,11784
Otter Tail Power Company,2020,Jul,,
Otter Tail Power Company,2020,Aug,,
Otter Tail Power Company,2020,Sep,,
Otter Tail Power Company,2020,Oct,,
Otter Tail Power Company,2020,Nov,,
Otter Tail Power Company,2020,Dec,,
Minnesota Energy Resources,2020,Jan,212379,23976
Minnesota Energy Resources,2020,Feb,212418,28663
Minnesota Energy Resources,2020,Mar,212372,28123
Minnesota Energy Resources,2020,Apr,212449,26978
Minnesota Energy Resources,2020,May,212416,28184
Minnesota Energy Resources,2020,Jun,212347,25257
Minnesota Energy Resources,2020,Jul,,
Minnesota Energy Resources,2020,Aug,,
Minnesota Energy Resources,2020,Sep,,
Minnesota Energy Resources,2020,Oct,,
Minnesota Energy Resources,2020,Nov,,
Minnesota Energy Resources,2020,Dec,,
Minnesota Power,2020,Jan,106035,14095
Minnesota Power,2020,Feb,106051,14437
Minnesota Power,2020,Mar,106162,14546
Minnesota Power,2020,Apr,106194,12611
Minnesota Power,2020,May,106556,12379
Minnesota Power,2020,Jun,106792,12320
Minnesota Power,2020,Jul,,
Minnesota Power,2020,Aug,,
Minnesota Power,2020,Sep,,
Minnesota Power,2020,Oct,,
Minnesota Power,2020,Nov,,
Minnesota Power,2020,Dec,,
CenterPoint Energy,2020,Jan,808660,64985
CenterPoint Energy,2020,Feb,809106,78616
CenterPoint Energy,2020,Mar,809958,80789
CenterPoint Energy,2020,Apr,810683,84260
CenterPoint Energy,2020,May,811142,88443
CenterPoint Energy,2020,Jun,812585,87921
CenterPoint Energy,2020,Jul,,
CenterPoint Energy,2020,Aug,,
CenterPoint Energy,2020,Sep,,
CenterPoint Energy,2020,Oct,,
CenterPoint Energy,2020,Nov,,
CenterPoint Energy,2020,Dec,,
Xcel Energy,2020,Jan,1254847,168109
Xcel Energy,2020,Feb,1257181,168868
Xcel Energy,2020,Mar,1258716,168682
Xcel Energy,2020,Apr,1258445,151074
Xcel Energy,2020,May,1259297,154241
Xcel Energy,2020,Jun,1260650,146864
Xcel Energy,2020,Jul,,
Xcel Energy,2020,Aug,,
Xcel Energy,2020,Sep,,
Xcel Energy,2020,Oct,,
Xcel Energy,2020,Nov,,
Xcel Energy,2020,Dec,,
Otter Tail Power Company,2020,Jan,51392,12207
Otter Tail Power Company,2020,Feb,51368,13115
Otter Tail Power Company,2020,Mar,51393,12884
Otter Tail Power Company,2020,Apr,51503,12195
Otter Tail Power Company,2020,May,51605,12153
Otter Tail Power Company,2020,Jun,51646,11784
Otter Tail Power Company,2020,Jul,51660,11632
Otter Tail Power Company,2020,Aug,,
Otter Tail Power Company,2020,Sep,,
Otter Tail Power Company,2020,Oct,,
Otter Tail Power Company,2020,Nov,,
Otter Tail Power Company,2020,Dec,,
Dakota Electrric Association,2020,Jan,101134,13209
Dakota Electrric Association,2020,Feb,101186,18980
Dakota Electrric Association,2020,Mar,101240,13004
Dakota Electrric Association,2020,Apr,101295,12320
Dakota Electrric Association,2020,May,101701,14374
Dakota Electrric Association,2020,Jun,101661,12400
Dakota Electrric Association,2020,Jul,101792,12076
Dakota Electrric Association,2020,Aug,,
Dakota Electrric Association,2020,Sep,,
Dakota Electrric Association,2020,Oct,,
Dakota Electrric Association,2020,Nov,,
Dakota Electrric Association,2020,Dec,,
Dakota Electrric Association,2020,Jan,101134,13209
Dakota Electrric Association,2020,Feb,101186,18980
Dakota Electrric Association,2020,Mar,101240,13004
Dakota Electrric Association,2020,Apr,101295,12320
Dakota Electrric Association,2020,May,101701,14374
Dakota Electrric Association,2020,Jun,101661,12400
Dakota Electrric Association,2020,Jul,101792,12076
Dakota Electrric Association,2020,Aug,,
Dakota Electrric Association,2020,Sep,,
Dakota Electrric Association,2020,Oct,,
Dakota Electrric Association,2020,Nov,,
Dakota Electrric Association,2020,Dec,,
Minnesota Energy Resources,2020,Jan,212379,23976
Minnesota Energy Resources,2020,Feb,212418,28663
Minnesota Energy Resources,2020,Mar,212372,28123
Minnesota Energy Resources,2020,Apr,212449,26978
Minnesota Energy Resources,2020,May,212416,28184
Minnesota Energy Resources,2020,Jun,212347,25257
Minnesota Energy Resources,2020,Jul,212453,27820
Minnesota Energy Resources,2020,Aug,,
Minnesota Energy Resources,2020,Sep,,
Minnesota Energy Resources,2020,Oct,,
Minnesota Energy Resources,2020,Nov,,
Minnesota Energy Resources,2020,Dec,,
Xcel Energy,2020,Jan,1254847,168109
Xcel Energy,2020,Feb,1257181,168868
Xcel Energy,2020,Mar,1258716,168682
Xcel Energy,2020,Apr,1258445,151074
Xcel Energy,2020,May,1259297,154241
Xcel Energy,2020,Jun,1260650,146864
Xcel Energy,2020,Jul,1261067,149286
Xcel Energy,2020,Aug,,
Xcel Energy,2020,Sep,,
Xcel Energy,2020,Oct,,
Xcel Energy,2020,Nov,,
Xcel Energy,2020,Dec,,
CenterPoint Energy,2020,Jan,808660,64985
CenterPoint Energy,2020,Feb,809106,78616
CenterPoint Energy,2020,Mar,809958,80789
CenterPoint Energy,2020,Apr,810683,84260
CenterPoint Energy,2020,May,811142,88443
CenterPoint Energy,2020,Jun,812585,87921
CenterPoint Energy,2020,Jul,813520,87867
CenterPoint Energy,2020,Aug,,
CenterPoint Energy,2020,Sep,,
CenterPoint Energy,2020,Oct,,
CenterPoint Energy,2020,Nov,,
CenterPoint Energy,2020,Dec,,
Minnesota Power,2020,Jan,106035,14095
Minnesota Power,2020,Feb,106051,14437
Minnesota Power,2020,Mar,106162,14546
Minnesota Power,2020,Apr,106194,12611
Minnesota Power,2020,May,106556,12379
Minnesota Power,2020,Jun,106792,12320
Minnesota Power,2020,Jul,106612,12431
Minnesota Power,2020,Aug,,
Minnesota Power,2020,Sep,,
