State,State Docket Long Narrative,Date on Dashboard,Date Last Reviewed by the Energy Justice Lab
Alabama,Alabama does not require disconnection reporting. The Energy Justice Lab obtained disconnections information from the City of Dothan (2010-2022) through an open records request.,Jan 2010 - Mar 2022,2023-06-07T00:00:00Z
Alaska,Alaska does not require disconnection reporting. Anchorage Municipal Light and Power did not provide disconnection data in response to an open records request.,,2023-06-07T00:00:00Z
Arizona,Arizona instituted disconnection reporting requirements in 2019. Rate-regulated utilities file monthly reports each quarter and the information includes arrears as well as other disconnection information (e.g. termination notices and number and dollar amount of disconnections).,Jan 2020 - Apr 2022,2023-06-07T00:00:00Z
Arkansas,Arkansas does not require disconnection reporting.,,2023-01-30T00:00:00Z
California,"California instituted disconnection reporting requirements in 2010; in 2018, it opened an additional investigation and expanded reporting requirements. Regulated utilities file monthly compliance reports in the latter docket, which is currently active. Required information includes service disconnection and reconnections, as well as other metrics by customer types (e.g. low-income, energy assistance, and elderly). The Energy Justice Lab obtained disconnections information from the Los Angeles Department of Water and Power (2013-2020), City and County of San Francisco (2017-2022), City of Corona (2012-2022), City of Lodi (2016-2020), City of Redding (2018-2021), City of Palo Alto (2014-2020), City of Glendale (2018-2022), and City of Burbank Water and Power (2017-2021) through open records requests.",Jan 2010 - Dec 2022,2023-06-07T00:00:00Z
Colorado,"Colorado's Division of Regulatory Agencies instituted quarterly reporting requirements in 2008 and use a template from the National Association of Regulatory Utility Commissioners, which covers arrearages, disconnections, and other indicators, e.g., dollar amounts. To convert the data from quarterly to monthly, the lab averaged each month by the quarter total. Reference the technical documentation for more methodology information.",Nov 2016 - Dec 2022,2023-06-07T00:00:00Z
Connecticut,"Connecticut instituted reporting requirements in 2018 to account for numbers of ""hardship customers."" During the COVID-19 pandemic, the Public Utilities Regulatory Authority (""PURA"") expanded the reporting requirements with Orders No. 1, 3, 5, 8, and 10. These reporting requirements cover disconnections, arrearages (number and dollar amount), and other hardship indicators. The Energy Justice Lab obtained disconnections information from the City of Norwich (2017-2021) through an open records request.",Jan 2017 - Feb 2023,2023-06-07T00:00:00Z
Delaware,Delaware does not require disconnection reporting.,,2023-01-30T00:00:00Z
Florida,"Florida instituted a disconnections reporting requirement in response to the COVID-19 pandemic, but has not required further reporting of disconnections. The Energy Justice Lab obtained disconnections information from Jacksonville Electric Authority (2010-2022), City of New Smyrna Beach (2020-2022), City of Lake Worth Beach (2010-2021), Beaches Energy Services (2021-2022), City of Tallahassee (2010-2022), Kissimmee Valley Authority (2008-2022), and Keys Energy (2007-2022) through open records requests.",Jan 2007 - Jun 2022,2023-06-07T00:00:00Z
Georgia,"Georgia does not require disconnection reporting, however, Georgia Power, the state's largest and sole investor-owned utility included disconnection reporting in its 2019 Base Rate Case. The utility has updated disconnection reports and statuses since the initial filing in May 2019. The Energy Justice Lab obtained disconnections information from Albany Utility Board for February of 2022 through an open records request.",Apr 2020 - Oct 2022,2023-06-07T00:00:00Z
Hawaii,"Hawaii instituted a disconnections reporting requirement in response to the COVID-19 pandemic, but has not required further reporting of disconnections. The Commission authorized Hawaii utilities to establish regulatory assets to record all costs resulting from the suspension of disconnections due to the emergency order. The reports include quarterly disconnection numbers and dollar amounts, arrearages, and number of disconnection notices issued.  To convert the data from quarterly to monthly, the lab averaged each month by the quarter total. Reference the technical documentation for more methodology information.",Jan 2022 - Sep 2022,2023-06-07T00:00:00Z
Idaho,Idaho does not require disconnection reporting. The Energy Justice Lab obtained disconnections information from the City of Idaho Falls (2016-2022) through an open records request.,Oct 2016 - Apr 2022,2023-06-07T00:00:00Z
Illinois,"Illinois instituted disconnection reporting requirements during COVID-19. Its monthly reports include information at ZIP-code level and cover arrears, disconnections, and other relevant information. The Energy Justice Lab obtained disconnections information from Rochelle Municipal Utilities (2021-2022), City of St Charles (2018-2022), City of Geneva (2013-2023), City of Batavia (2018-2022), and the City of Naperville (2020-2022) through open records requests.",Jan 2013 - Jan 2023,2023-06-07T00:00:00Z
Indiana,"Indiana instituted a generic investigation into disconnections and arrearages in response to COVID-19. Subsequently, the Indiana Office of Utility Consumer Counselor petitioned and settled with large investor-owned and smaller gas utilities to file disconnection and arrearage information in quarterly reports through March 2023 - March 2024. The Energy Justice Lab obtained disconnections information from the City of Mishawaka (2018-2021) through an open records request.",Jan 2018 - Sep 2022,2023-06-07T00:00:00Z
Iowa,Iowa instituted reporting requirements in 2014. Utilities share their monthly disconnections with the Iowa Utilities Board; the Board then aggregates and compiles all the reports into a singular document published on its website each month.,Oct 2013 - Oct 2022,2023-06-07T00:00:00Z
Kansas,"Kansas instituted a disconnections reporting requirement in response to the COVID-19 pandemic, but has not required further reporting of disconnections.",Jan 2020 - Oct 2022,2023-02-15T00:00:00Z
Kentucky,"Kentucky requires annual disconnection reporting; regulated utilities provide the number of accounts disconnected, the number of accounts reconnected, the highest dollar amount disconnected, the lowest dollar amount disconnected, the median dollar amount disconnected, and the average dollar amount disconnected for each month of the fiscal year.",Jan 2020 - Jun 2022,2023-06-07T00:00:00Z
Louisiana,Louisiana does not require disconnection reporting. The Energy Justice Lab obtained disconnections information from the City of Lafayette (2000-2022) through an open records request.,Jan 2000 - Mar 2022,2023-06-07T00:00:00Z
Maine,"Maine requires utilities to file annual reports with the Public Utilities Commission by February 15 of each year. These reports include the average number of accounts, customer bills, accounts with overdue amounts per billing period, average dollar amount of overdue amounts per billing period, number of disconnection notices issued and disconnections effectuated per month, reconnections, and various other metrics.",Jan 1999 - Dec 2022,2023-06-07T00:00:00Z
Maryland,"Maryland instituted a disconnections reporting requirement in response to the COVID-19 pandemic, and required reporting of disconnections January 2020 through October 2022, but has not required further reporting of disconnections.",Jan 2020 - Oct 2022,2023-06-07T00:00:00Z
Massachusetts,"Massachusetts instituted a disconnections reporting requirement in response to the COVID-19 pandemic, and required regulated utilities file monthly compliance reports covering March 2019 to present.",Mar 2019 - Dec 2022,2023-06-07T00:00:00Z
Michigan,"Michigan instituted a disconnections reporting requirement in response to the COVID-19 pandemic, and utilities provided reports on customer shutoffs, disconnections, and reconnection efforts. The Energy Justice Lab obtained disconnections information from the Lansing Board of Water and Light (2010-2022), Holland Board of Public Works (2018-2022), and the City of Bay City (2020-2022) through open records requests.",Jan 2010 - Jun 2022,2023-06-07T00:00:00Z
Minnesota,"Minnesota instituted a weekly and monthly disconnections reporting requirement in response to the COVID-19 pandemic covering January 2020 - May 2022; the Minnesota Public Utilities Commission subsequently required a new monthly reporting system covering May 2022 onward. The Energy Justice Lab obtained disconnections information from the City of Moorhead (2010-2021), Anoka Municipal Utilities (2018-2022), Austin Utilities (2020-2022), Marshall Municipal Utilities (2019-2022), Owatonna Public Utilities (2020-2023), and Worthington Public Utilities (2010-2022) through open records requests.",Jan 2010 - Feb 2023,2023-06-07T00:00:00Z
Mississippi,Mississippi does not require disconnection reporting.,,2023-01-30T00:00:00Z
Missouri,"Missouri instituted a disconnections reporting requirement in response to the COVID-19 pandemic; the Missouri Public Service Commission filed two comprehensive reports compiling all the reported disconnection numbers for the state's utilities covering January 2020 - September 2022. The Commission ended this reporting requirement on February 22, 2023. The Energy Justice Lab obtained disconnections information from the City of Columbia (2020-2022) and City Utilities of Springfield (2018-2022) through open records requests.",Jan 2018 - Sep 2022,2023-06-07T00:00:00Z
Montana,"Montana does not require disconnection reporting, however, in June 2020 during the COVID-19 pandemic, the public service commission requested that the state's largest utility, Montana-Dakota Utilities, provide the number of customers disconnected for nonpayment for April, May, and June 2020. Montana-Dakota Utilities did not provide disconnection data in response to request.",Apr 2020 - Jun 2020,2023-06-07T00:00:00Z
Nebraska,"Nebraska instituted a disconnections reporting requirement in response to the COVID-19 pandemic, but has not required further reporting of disconnections. The Energy Justice Lab obtained disconnections information (2020-2021) for the state's two largest gas utilities from the Nebraska Public Service Commission. The Lab also obtained disconnections information for the Lincoln Electric System (2020-2022) through an open records request.",,2023-06-07T00:00:00Z
Nevada,Nevada does not require disconnection reporting.,,2023-06-07T00:00:00Z
New Hampshire,"New Hampshire requires disconnection reporting; however, the reports are not publicly available on the State Regulatory Commission's website and must be requested from Board Staff.",Jan 2009 - Sep 2022,2023-06-07T00:00:00Z
New Jersey,"New Jersey does not require disconnection reporting; however, several municipal utilities provided disconnections information to the New Jersey Board of Public Utilities, which the Energy Justice Lab obtained through a network contact. The Energy Justice Lab obtained disconnections information from the City of Vineland (2015-2022) through an open records equest.",Oct 2015 - Sep 2022,2023-06-07T00:00:00Z
New Mexico,"New Mexico instituted a bi-annual disconnections reporting requirement in response to the COVID-19 pandemic. Regulated utilities report the number disconnection notices issued and disconnections effectuated, and number of subsequent reconnections.",May 2021 - Nov 2022,2023-06-07T00:00:00Z
New York,"New York instituted a monthly reporting requirement in July 1991; however, the reported disconnections available online are current only from 2016 to present. The reporting requirements include quantity and dollar amounts for arrearages; disconnections; number of final termination notices issued, and reconnections.",Jan 2011 - Nov 2022,2023-06-07T00:00:00Z
North Carolina,"North Carolina instituted a reporting requirement in 1975; however, the reported disconnections available on the website date back to only 1995. The Energy Justice Lab obtained disconnections information from the City of New Bern (2012-2022) and City of Concord (2020-2022) through open records requests.",Jan 1996 - Apr 2023,2023-06-07T00:00:00Z
North Dakota,"North Dakota instituted a disconnections reporting requirement in 2010; however, older reports are uploaded as images, rather than PDFs and are difficult to parse. Additionally, the reports detail customer-by-customer disconnections, rather than aggregated totals. Reports consist of disconnections and the amount of the customer's bill at the time of disconnection.",Jan 2018 - Oct 2022,2023-06-07T00:00:00Z
Ohio,"Ohio instituted monthly reporting requirements in 2008; regulated utilities file disconnection, reconnection, arrearage, and other customer bill statistics. The Energy Justice Lab obtained disconnections information from the City of Cleveland (2010-2022) through an open records request.",Jan 2010 - May 2022,2023-06-07T00:00:00Z
Oklahoma,Oklahoma does not require disconnection reporting. The Energy Justice Lab obtained disconnections information from the Stillwater Utility Authority (2017-2022) through an open records request.,Jan 2017 - Oct 2022,2023-06-07T00:00:00Z
Oregon,Oregon instituted quarterly reporting requirements of disconnections for non-payment and subsequent reconnections in 2018.,Aug 2018 - Oct 2022,2023-06-07T00:00:00Z
Pennsylvania,"Pennsylvania instituted a quarterly disconnections reporting requirement in response to the COVID-19 pandemic, and required regulated utilities file monthly compliance reports covering April 2019 to the fourth quarter of 2021. Major utilities also filed year-to-date disconnections information covering January 2022 - August 2022, which the Energy Justice Lab converted to monthly data by dividing by the total by the number of reported months.",Apr 2019 - Oct 2022,2023-06-07T00:00:00Z
Rhode Island,"Rhode Island instituted reporting requirements in however, the reporting docket only includes disconnection reports through 2019. The Energy Justice Lab obtained additional reports from a network partner.",Apr 2004 - Sep 2022,2023-06-07T00:00:00Z
South Carolina,"South Carolina instituted requirements for quarterly reporting on involuntary termination of Electric, Gas, or Electric and Gas service in 2006. To convert the data from quarterly to monthly, the lab averaged each month by the quarter total. Reference the technical documentation for more methodology information.",Oct 2004 - Sep 2022,2023-06-07T00:00:00Z
South Dakota,"South Dakota does not require disconnection reporting. However, pursuant to an order from the public utility commission, investor owned utilities did report quarterly disconnection activity and cost effects from arrearages and bill pay activity resulting from the COVID-19 pandemic. To convert the data from quarterly to monthly, the lab averaged each month by the quarter total. Reference the technical documentation for more methodology information.",Jan 2020 - Mar 2022,2023-02-15T00:00:00Z
Tennessee,Tennessee does not require disconnection reporting.,,2023-01-30T00:00:00Z
Texas,"Texas does not require disconnection reporting. The Energy Justice Lab obtained disconnections information from the Brownsville Public Utilities Board (2010-2022), City of New Braunfels (2010-2022), and CPS Energy (2019-2022) through open records requests.",Jan 2010 - May 2022,2023-06-07T00:00:00Z
Utah,"Utah instituted a disconnections reporting requirement in response to the COVID-19 pandemic, but has not required further reporting. The sole regulated utility, Rocky Mountain Power, filed over 20 years of disconnections information in this report. The Energy Justice Lab obtained disconnections information from the City of St George (2020-2022) through an open records request.",Sep 2000 - Dec 2022,2023-06-07T00:00:00Z
Vermont,"Vermont instituted reporting requirements in 2018 and the Energy Justice Lab cleaned and compiled reports for the state's largest investor owned utility, Green Mountain Power for 2018-2023. The Energy Justice Lab obtained disconnections information from City of Burlington Electric (2010-2022) through an open records request.",Feb 2010 - Feb 2023,2023-06-07T00:00:00Z
Virginia,"Virginia does not require disconnection reporting. However, the Energy Justice Lab obtained disconnections information from the State Corporation Commission, which collects on a voluntary basis, information for eight IOUs (excluding Southwestern Virginia Gas), which considers the information confidential, and thirteen co-operative utilities, aggregated (2009-2023).",Jan 2009 - Feb 2023,2023-06-07T00:00:00Z
Washington,"Washington instituted a disconnections reporting requirement in response to the COVID-19 pandemic.  The Utilities and Transportation Commission assembled an interactive dashboard for viewers to explore the state's utility disconnection and arrearage information. The Energy Justice Lab obtained disconnections information from Seattle City Light (2016-2019), City of Richland (2010-2022), and City of Tacoma (2010-2022) through open records requests.",Jan 2010 - Sep 2022,2023-06-07T00:00:00Z
"Washington, DC","Washington D.C. instituted a reporting requirement to cover disconnections and arrearages in 2005. However, many of the early reports are scanned images and the numbers are hard to read.",Jan 2005 - Dec 2022,2023-06-07T00:00:00Z
West Virginia,West Virginia does not require disconnection reporting.,,2023-01-30T00:00:00Z
Wisconsin,"The Wisconsin Public Service Commission issued a requirement for all water, electric, and natural gas public utilities to submit quarterly reports of disconnection and arrearage totals during 2021 in response to the COVID-19 pandemic. The Commission aggregated the responses for the all the utilities in a memorandum, the totals from which are incorporated into the dashboard. To convert the data from quarterly to monthly, the lab averaged each month by the quarter total. Reference the technical documentation for more methodology information. The Energy Justice Lab obtained disconnections information from Sun Prairie Utilities (2014-2022) through an open records request.",Jan 2014 - Jan 2022,2023-06-07T00:00:00Z
Wyoming,Wyoming does not require disconnection reporting.,,2023-01-30T00:00:00Z
